identifier,label
Q9NQC3,0.195
P02783,0.625
P12950,1.0
Q08655,1.0
P06701,0.342
Q9LZP9,1.0
O43236,0.249
Q9VPU8,1.0
Q91V27,0.436
Q14061,1.0
B0FRH7,1.0
Q9NX55,1.0
O00488,0.866
P02628,1.0
P16860,0.575
P0AFX7,0.444
Q9NZ94,0.139
Q9C000,0.014
Q16143,1.0
Q00955,0.015
P49354,0.174
O66493,0.141
P28583,0.028
Q9Y296,0.068
Q61337,1.0
Q6P8Z1,0.988
P63098,0.153
P13102,0.062
Q07932,0.179
P09132,0.069
P39900,0.026
P03305,0.017
P77072,0.17
P54252,0.521
P0AG16,0.044
O24172,0.34
P16006,0.109
A2VD23,1.0
Q9CQK7,1.0
P27958,0.027
J7QLC0,0.411
P48539,1.0
P49869,0.215
P60723,0.313
Q24246,0.041
P42759,1.0
Q16595,0.41
Q13573,0.132
O81283,0.558
Q9SLF3,0.377
P30291,0.483
Q22472,1.0
Q07412,0.117
Q9WMX2,0.034
P02788,0.031
P53954,0.026
Q58667,0.065
Q68FT9,0.044
P00736,0.16
P63045,0.759
P83949,0.689
P35638,0.314
P45976,0.355
P0AG11,1.0
Q05323,0.049
P15309,0.101
Q07097,0.237
O76070,1.0
P38634,0.317
Q01844,0.402
Q09472,0.069
P17120,0.06
Q89933,0.24
P51671,0.32
P22362,0.24
Q91ZE9,1.0
Q01231,0.293
P00441,0.169
P26039,0.018
Q9ZPI5,0.046
P59113,0.216
P07674,0.358
P31168,1.0
P42758,1.0
P16458,0.397
Q9CX60,1.0
Q8LBP4,0.268
P81558,1.0
Q01417,1.0
P32004,0.091
P42763,1.0
P19250,0.185
P81019,0.388
Q29983,0.026
Q92886,0.257
P06935,0.031
Q69422,0.054
P19711,0.026
P12810,0.278
P11171,0.075
Q99801,0.786
Q98157,0.255
Q9IH62,0.037
P08067,0.056
P30185,1.0
P45561,0.91
Q8N488,1.0
Q9Y258,0.117
Q9IK92,0.25
O89339,0.25
Q9IK91,0.573
O55778,0.571
P46937,0.141
P24522,0.182
P22943,0.89
Q15517,0.212
Q9UER7,0.1
O35613,0.235
Q9Y3M2,0.698
Q9UGL1,0.017
P02545,0.42
P35521,0.145
P37231,0.592
Q13569,0.444
Q05344,0.3
Q8IRG6,0.144
P0AGE2,0.365
Q9MAA7,0.038
Q9LQT8,0.193
P41851,0.255
Q5UPJ7,0.061
P00760,0.435
P00974,0.25
P02631,0.11
Q00496,0.008
O08785,0.067
Q9UKV8,0.05
P03040,0.167
Q99LM3,0.743
P01160,0.444
P46108,0.378
Q9TY14,0.849
Q38151,0.468
E6PBU9,0.376
C4M0U8,0.993
Q70Q12,0.351
Q9BSY4,0.145
P80220,0.39
E6PBU3,0.35
O89467,0.692
O00585,0.306
P0A9K9,0.224
P27782,0.071
Q28181-4,0.893
Q24F70,0.352
P20435,0.458
P40719,0.347
P15311,0.174
P0ACF8,0.241
P46670,0.209
P10279,0.42
G4NEJ8,0.494
B2LME8,0.31
P38801,0.364
P08245,0.287
P9WHJ5,0.333
P36886,0.321
P05387,0.461
P50616,0.643
P62326,1.0
P15382,0.504
O15273,0.461
O14214,0.385
P9WNK3,0.385
Q9BJX6,0.428
P61012,0.385
P22179,0.403
P0A311,0.339
A1B8N7,0.388
Q84ZX5,0.394
P24937,0.576
P80870,0.385
P0A882,0.417
Q9V452,0.486
Q97QZ2,0.399
P01252,1.0
Q9DCL8,1.0
P41236,0.761
O73557,0.586
Q885L4,0.336
N1NXA6,0.364
Q9NJS1,0.735
O31467,0.314
P13183,0.263
P22995,0.337
P69428,0.764
Q03337,0.406
P01139,0.456
Q16186,0.484
P46065,0.405
O14733,0.169
P12506,1.0
P01096,0.165
P23632,0.121
O60888,0.145
P20220,0.348
Q49ZM2,0.316
Q9Q8E9,0.431
P36932,0.344
Q9KX51,0.379
P00127,0.49
Q9X8U3,0.397
Q980M2,0.255
A8AZZ3,0.462
Q9L9I0,0.192
P49785,0.326
Q9X0Q3,0.358
Q9BQ15,0.583
Q6P3W2,0.174
Q9NHC3,0.057
F2Z293,0.358
H0W0T5,0.359
A4ZNR2,1.0
P80428,0.16
Q9H981,0.171
Q12406,0.111
P69723,0.271
P14340,0.029
P9WHN5,1.0
G8HXD9,1.0
G1TDB3,0.4
Q83ZN8,0.379
Q9DDG2,0.245
Q9RY65,0.198
P21246,0.244
P9WF19,0.128
O31818,0.481
P08240,0.074
Q7B2Z6,0.5
P03421,0.423
P10121,0.376
Q57565,0.142
P13338,0.366
P44654,0.367
Q04660,0.045
O75496,0.105
O32728,0.772
P47813,0.333
Q58876,0.516
Q9HB71-2,0.412
P9WJ35,0.548
P41567,0.248
Q8N4Q1,0.254
A0A0J9X1Q5,0.022
I7MK25,0.088
Q5JH72,0.422
Q8GY31,0.116
P21583,0.099
A0MHA3,0.408
C6KEI3,0.5
P67966,0.255
J8TM36,0.051
Q9BQB4,0.582
A0L5S6,0.066
P04608,0.43
P80723,1.0
Q5ZYC9,0.508
P35926,0.409
G1K3N3,0.407
P61925,1.0
P31087,0.309
O88998,0.029
Q12972,0.234
P04859,0.076
Q62627,1.0
Q93009,0.025
Q647G9,0.31
O35274,0.307
O10609,0.717
Q9HAU5,0.052
P17677,1.0
Q9H832,0.359
Q9YGY0,0.063
P06836,1.0
Q63K18,0.213
C0J347,0.433
P46984,1.0
O15169,0.239
P52630,0.062
P42224,0.055
P0DJ89,0.045
P0C6L3,1.0
P09415,0.192
Q60795,0.164
Q02548,0.046
P0ABD8,0.494
P46108-2,1.0
P42866,0.224
Q86FP9,0.759
P04578,0.123
Q86FP8,0.762
P35961,0.553
P36595,0.585
P12357,0.587
Q87WW0,0.292
Q8QWD4,0.406
A0A0H3CFC9,0.361
P0ACX9,0.317
P12355,0.333
P0AAC0,0.044
P27356,0.341
Q9I332,0.686
P39015,0.59
P01097,0.271
Q9WZ73,0.312
P0A4T9,0.194
Q05127,0.085
P03315,0.113
O87120,0.315
Q9KJ82,0.421
Q8PMB6,0.496
P97303,0.226
P51177,0.216
P68390,0.351
P27392,0.316
P68927,0.306
O94742,1.0
Q83AR4,0.303
Q20MD5,0.219
P56254,0.137
Q6URW6,0.024
Q01101,0.039
P27708,0.012
P02619,1.0
A5YV76,0.016
Q4DRC4,0.133
Q51912,0.028
Q99IB8,0.031
Q91006,0.256
P73124,1.0
Q39805,1.0
I1JLC8,1.0
Q9S446,0.073
Q9FUM5,1.0
Q9FUW7,1.0
Q80FJ1,0.24
Q47785,0.214
Q7DB66,0.137
O50835,0.424
Q39532,0.13
Q6QCC2,0.135
P0A6X3,0.275
Q7LKB1,0.369
Q8MWS6,0.131
Q76LA1,0.684
Q8GT36,1.0
A7UMX5,1.0
Q42512,0.712
Q9SIN5,0.702
Q71FK2,0.084
A8CDV5,1.0
Q6PBE3,0.253
Q9NQI0,0.326
Q9NQI0-2,0.296
P19599,0.826
Q9UBB5,0.29
Q6MRH6,1.0
P42568,0.139
O23764,1.0
Q61548,0.064
Q7YUB9,1.0
P20676,0.722
Q02629,0.667
P14907,0.738
P40477,0.302
P40517,0.621
Q9C1S9,0.111
Q7X2A1,0.025
Q7TP21,0.116
Q1K7R9,0.103
Q9SKI4,0.138
Q10Q08,0.121
Q1PAB4,1.0
Q9XES8,1.0
G4SLH0,0.223
P96884,0.135
B7T1D7,0.161
Q9BP37,0.716
Q9BP38,0.175
Q25733,0.061
P61244-2,0.146
Q16222-2,0.03
O00204-2,0.063
P10636-8,1.0
P04370-5,1.0
Q13698,0.068
P46531,0.051
P20444,0.1
P16471,0.584
Q13148,0.36
P22626,0.431
Q9UHD9,0.28
Q13501,0.105
P27986,0.041
D0PV95,0.237
P16333,0.111
Q16236,0.026
Q03164,0.005
O60566,0.022
Q12834,0.214
P35222,0.033
P24864,0.034
Q38825,0.053
Q27934,0.06
P43403,0.1
Q9Y261,0.042
O43561,0.786
Q8VHK2,0.579
O43806,0.437
P12296,0.006
P49757,0.017
O14558,0.35
Q12778,0.038
Q00987-11,0.175
P10071,0.083
P40019,1.0
Q6FI81,0.301
A0A0G2JXC5,0.092
P38293,1.0
P70604,0.14
O92972,0.085
P08008,0.457
O34800,1.0
Q9I322,1.0
A0A068MVV3,1.0
Q14457,0.333
P03255,0.481
P03259,1.0
Q9JK11,0.156
P9WI73,0.1
P19594,0.272
O66858,0.151
P07305,0.577
P04908,0.462
P06899,0.302
A6NF83,1.0
P9WPI9,0.278
Q9UMS4,0.052
Q96SD1,0.139
O14974,0.039
Q9HAN9,0.136
O30916,0.319
P02730,0.059
F9UST4,0.08
P24255,0.22
O00268,0.397
P42768,0.135
O43516,0.392
Q15726,0.862
O43474,0.253
P28235,0.303
P08033,0.237
P0AE98,0.225
Q14978,1.0
Q8RY59,0.109
P56621,0.305
P22216,0.065
O96013,0.102
P46669,0.052
P03086,0.437
P34087,0.07
Q5XXP4,0.007
Q9WUP7-2,0.03
O14140,0.761
P55036,0.064
Q9H211,0.022
P39007,0.074
P48439,0.551
B9KDD4,0.066
O29867,0.044
Q47184,0.615
O55000,0.143
O75807,0.177
Q15797,0.11
O43312,0.02
Q9UMZ1,1.0
P55735,0.081
P36100,0.598
P20591,0.077
Q9UJX2,0.109
P19634,0.167
P25638,0.18
O76074,0.047
P12823,0.006
O13916,0.7
O95292,0.514
P61073,0.074
P02283,0.211
P01137,0.056
P05386,0.456
P12956,0.126
P13010,0.027
Q32ZE1,0.022
P41208,0.128
P53905,0.322
P49848,0.675
Q9H816,0.041
Q8NG31,0.016
Q15691,0.075
Q03132,0.008
Q6VMQ6,0.021
Q68DK7,0.018
Q8N5Y2,0.04
P05067,0.052
Q9JM54,0.466
Q16576,0.089
Q9Y3E7,0.072
P24928,0.101
Q97W59,0.878
Q7Z094,0.239
Q9VZU1,0.381
O43313,0.561
Q9KMA5,0.346
Q9KMA6,0.1
P0AE72,0.427
P49768,0.165
Q13542,1.0
Q98XH7,1.0
Q6BBK3,0.693
Q96273,1.0
Q9SLJ2,1.0
O14519,0.522
Q99LJ8,0.249
P08392,0.022
Q03518,0.139
Q9BXH1,0.078
O60828,0.777
P50750,0.032
Q8WUP2,0.228
Q6NUK1,0.109
Q9UMX1,0.169
Q9N4U5,0.112
Q9QWH1,0.093
P25916,0.417
O60741,0.104
Q15796,0.051
P36152,0.33
Q01924,0.307
Q8R316,0.045
Q9HCJ0,0.008
O43236-6,0.099
Q9Y4P1,0.104
Q8IV16,0.185
Q9C0C7,0.012
P28324,0.1
P32639,0.094
P17931,0.46
B7T1D9,0.095
O94907,0.041
P03709,0.295
Q96B02,0.066
P0A903,0.212
P52564,0.129
Q13469,0.177
P12302,0.067
P46014,0.026
Q49492,0.114
P15927,0.511
P62826,0.292
Q24139,0.03
Q8WXE9,0.044
P84233,0.257
P62799,0.204
P53330,0.548
P04879,0.226
P01130,0.062
Q9Z0P7,0.167
G0SCY6,0.31
G0S4M4,0.087
P45985,0.216
P47093,0.385
Q06406,0.116
Q92913,0.102
Q5V913,0.125
O61667,0.132
P31016,0.015
Q16543,0.164
Q2KIG3,0.277
Q15004,1.0
P06400,0.297
Q01094,0.233
P03120,0.219
Q09427,0.077
Q03071,0.232
C6ZFX3,1.0
E1UJ20,0.991
P04052,0.044
P31431,0.141
O60829,1.0
P54936,0.068
P90976,0.222
O14936,0.136
A5F384,0.036
P44228,0.375
P14921,0.098
Q2Q4X9,1.0
Q9UJX4,0.166
P30260,0.41
Q9Y239,0.029
P30281,0.13
P10923,0.946
Q15637,0.081
Q9UKT4,0.79
Q9UBU9,0.037
Q13042,0.203
Q8NHZ8,0.706
P60006,0.537
Q96DE5,0.464
Q01081,0.479
Q92973,0.059
Q9Y3B4,0.368
P41352,0.038
P41351,0.042
Q13188,0.232
O60563,0.014
P28229,0.26
Q8IW19,0.164
Q9SP32,0.042
P36118,1.0
Q6GX35,0.1
Q96GU1,0.854
P06748,0.684
P55980,0.261
Q02413,0.263
P63277,0.29
Q9UJX5,0.168
Q9UJX3,0.192
Q96FI4,0.2
Q5UPT2,0.254
O13828,0.255
P04626,0.214
P40161,0.055
P11912,0.27
P40259,0.214
P69346,0.373
Q9UBK2,0.274
Q9NR61,0.194
P22059,0.042
Q01097,0.151
P09429,0.2
Q9VMA3,0.02
P08510,0.218
P0AFG0,0.199
Q9NK80,0.217
O70480,0.504
Q9JI51,0.348
Q5R6Q2,0.251
G3V7P1,0.252
P33328,0.791
P32867,0.255
P39926,0.251
P0AGB6,0.126
P08263,0.068
Q9UQC2,0.031
Q15418,0.072
P9WIP5,0.225
O25010,0.411
P03050,1.0
P53378,0.074
Q02297-10,0.253
Q5RJL0,1.0
Q9UM11,0.181
Q9UJX6,0.209
Q57904,0.283
P15273,0.032
O75554,0.269
Q07889,0.12
B6KJB6,0.38
P04147,0.146
O57173,0.225
O00429,0.147
Q9DBZ9,0.362
P06401,0.633
P84634,0.011
Q8WV28,0.101
M5BF30,0.037
P84051,0.089
P29274,0.291
Q8CJF7,0.547
Q8WYP5,0.551
J7FTI7,0.432
Q99523,0.014
P33763,0.163
D6PZY5,0.455
P23443,0.198
Q9EPU7,0.157
Q96GC6,0.372
P27682,0.886
Q9XTY3,0.924
Q04964,1.0
Q9UMR2,0.077
P08235,0.313
Q9Z1X4,0.107
Q9CXY6,0.154
Q12905,0.074
Q9GSG7,0.244
B9UCQ5,0.14
P34021-2,0.265
P12931,0.157
Q88QP8,0.058
P0C0Y1,0.224
C6KSX0,0.138
P41969,0.256
P34233,0.138
P06239,0.071
Q8NQJ3,0.28
Q868N5,0.032
P19880,0.168
P52799,0.243
P9WJA9,0.414
Q92945,0.125
P18212,0.064
Q8VHC5,0.077
P21374,0.596
Q80ZV0,0.5
P52945,0.283
Q9BRG1,0.074
P47142,0.099
Q93KQ4,0.267
Q86WV6,0.095
Q96IZ0,0.068
Q12483,0.094
Q06208,0.119
P29539,0.044
Q9Y6H6,0.35
P47910,0.327
Q06696,0.341
O88597,0.06
Q14653,0.037
P03126,0.133
P10104,0.232
P03070,0.078
Q9NR28,0.063
P20823,0.03
Q06609,0.183
Q03834,0.245
Q06433,0.118
P14736,0.294
P32628,0.495
A0A0H2ZP82,0.013
Q07955,0.27
P06492,0.271
O75506,0.355
P09038,0.076
P20239,0.031
P35236,0.044
P51449,0.077
P84022,0.136
P0C1H4,0.278
P0A7K2,0.091
Q96T88,0.098
P36578,0.309
Q09882,0.086
P12301,0.155
P70444,0.21
P55957,0.246
Q548Y4,0.118
P12081,0.024
Q26680,0.06
Q9I1X7,0.037
O75928,0.1
P06454,1.0
P02549,0.008
Q5VZK9,0.012
Q99741,0.037
Q07666,0.124
O95644,0.07
P69490,0.101
Q8AVN9,0.069
P80644,0.099
P52597,0.024
P9WKX3,0.287
P04271,0.25
P9WNR7,0.048
P68688,0.188
Q6PHW0,0.242
P48788,0.473
P05556,0.019
P51023,0.024
P62877,0.259
Q13029,0.084
Q0GBY3,0.229
P37173,0.037
P03714,0.35
O95718,0.06
Q9NQA5,0.191
Q9H1D0,0.093
P58753,0.095
Q8WUG5,0.195
Q07912,0.04
O54928,0.131
P53632,0.45
Q8GYN5,1.0
Q3LS93,0.936
Q05917,0.187
P21736,0.509
O75112-6,0.703
Q53GG5,0.459
Q2JIZ5,0.036
Q86UX7,0.124
Q87P35,0.385
D2JX42,1.0
A0A1Z3GD05,1.0
P98177,0.075
A0A1Z3GD08,1.0
A0ZWU1,0.375
Q99ML1,0.176
Q9BUH6,0.304
P49790,0.053
P53999,0.472
P40855,0.676
Q67953,0.243
P49005,0.07
Q9I832,0.117
Q15910,0.229
P25644,0.117
Q7Q3R9,0.796
P85800,1.0
Q6F3E8,0.046
O43715,0.303
O14713,0.055
P37330,0.015
P68005,0.361
P38968,0.26
P08514,0.049
P05106,0.066
P03404,0.121
Q92540,0.029
Q13451,0.026
P05107,0.046
Q9JK66,0.174
P10686,0.008
P04480,0.291
Q9M605,0.369
P09012,0.057
Q96270,1.0
Q5NJL5,1.0
P17639,1.0
P01042,0.146
O75533,0.354
P47047,0.059
P35247,0.072
P51587,0.006
P84040,0.786
P68246,0.246
Q99075,0.163
O95149,0.225
Q2GI62,0.146
P52926,1.0
Q96AY2,0.019
Q9UPR3,0.023
Q9JIH2,0.135
Q15596,0.141
P0C077,0.116
P02655,0.257
Q9UKT5,0.078
P08592,0.021
Q07930,0.348
O14776,0.01
O60885,0.008
Q13568,0.02
Q96RI1,0.033
P77522,0.222
Q02078,0.024
P03254,0.817
P17763,0.003
P29990,0.006
Q2YHF0,0.009
P07986,0.041
Q9RJY2,0.082
P83731,0.223
Q9EPH0,0.098
P11021,0.069
Q5JJ98,0.119
Q8BH64,0.072
Q4JC68,0.082
P50553,1.0
Q9NRY2,0.596
P31324,0.303
A0A2K8FR49,1.0
S6AWC2,1.0
O65934,0.147
Q9HZJ8,0.261
P04083,0.277
Q63450,0.104
P38516,0.226
P19619,0.118
P22303,0.02
P0CE48,0.058
P0CF51,0.064
A4C1A5,0.573
P27058,1.0
M1GUG5,1.0
P01071,1.0
P13693,0.186
Q09514,0.248
Q02554,0.041
Q6CMF0,0.068
P76407,0.04
Q8HYY9,0.245
Q8TEK3,0.055
Q14493,0.093
P36894,0.09
Q80VP1,0.311
P27321,0.034
Q07009,0.113
E2IHW6,0.1
Q8K4J6,0.1
O14745,0.327
O08807,0.073
O15922,0.246
P16220,0.176
Q92793,0.251
P47710,1.0
P04183,0.295
Q9H2Y7,0.136
Q9M4V2,0.16
O75683,0.504
Q9NRJ3,0.85
P32684,0.131
P52272,0.041
P30429,0.184
P17405,0.103
P32504,0.073
P62805,0.233
Q98325,0.224
O74774,0.356
P41814,0.303
P14335,0.005
P33322,0.091
P70447,0.221
Q9Y7M4,0.151
Q9FG31,1.0
O74499,0.389
O14352,0.256
P38919,0.051
P04383,0.233
P33411,0.08
P02686-5,1.0
E1BSW7,0.237
Q9JPP1,0.333
P49427,0.292
P28698,0.018
P27472,0.111
P60604,0.091
O94316,0.061
A0A045GWT8,0.922
Q00944,0.041
Q02199,0.072
P52948,0.082
Q03281,0.063
P30307,0.038
P06437,0.124
O94444,0.136
P04386,0.043
P0ABS5,0.021
P0AGE0,0.371
P63159,0.358
Q2TAZ0,0.015
O67086,0.746
P32337,0.01
P47054,0.082
Q676U5,0.043
Q24570,0.109
Q9HD26,0.069
Q925J9,0.011
P49687,0.094
P35729,0.022
P36161,0.048
P32566,0.329
P61328-2,0.204
P16050,0.213
Q02388,0.013
Q8WUM0,0.043
Q8N726-1,1.0
Q72J05,0.027
P37028,0.06
O15234,0.03
Q9BS26,0.111
P52695,0.093
P51965,0.207
O00571,0.252
P21734,0.107
P68466,0.168
P53136,0.065
P37455,0.378
P0ADV9,0.183
Q9Q6P4,0.006
Q5UB51,0.008
Q2TUW1,1.0
P02808,0.694
A0A140GKJ0,0.375
Q03519,0.188
P05769,0.007
Q93P54,0.054
P32521,0.196
P29375,0.105
P24385,0.081
Q02821,0.039
Q99958,0.022
Q13547,0.22
P08476,0.066
P10721,0.023
P38862,0.021
P68363,0.071
Q96F86,0.11
P14598,0.041
P26554,0.073
Q9JLC3,0.379
P13848,0.204
P42226,0.038
P32120,0.024
Q12306,0.228
Q8IVG9,1.0
Q9Y6K9,0.103
P29131,0.398
Q92905,0.036
P04486,0.161
Q96PU5,0.083
P63165,0.178
Q05471,0.019
P60761,0.436
P50498,1.0
Q71UI9,0.078
Q15843,0.16
Q0JRZ9,0.02
Q7DD77,0.459
Q8T9B6,0.406
Q8IG33,0.382
Q9ERE7,0.33
O43663,0.248
Q03689,0.215
P53865,0.017
O60200,0.174
Q05776,0.057
Q00169,0.452
P53779,0.056
K7J0R2,0.028
C4PB33,0.02
O17428,0.023
Q9BUQ8,0.313
P13861,0.116
Q98148,0.046
O46385,0.378
O60701,0.055
A0A0H2W778,0.242
A0A178W0D3,0.151
